query_id,bought_rate,n_rows,strata,split
q_000142,0.0,8,0%,train
q_000143,0.6666666666666666,3,34-100%,train
q_000144,0.25,8,1-33%,valid
q_000145,0.5,4,34-100%,test
q_000146,1.0,4,34-100%,train
q_000147,0.16666666666666666,6,1-33%,train
q_000148,0.0,7,0%,train
q_000149,0.2,5,1-33%,test
q_000150,0.0,2,0%,train
q_000151,0.14285714285714285,7,1-33%,train
q_000152,0.125,8,1-33%,test
q_000153,0.125,8,1-33%,train
q_000154,0.0,3,0%,train
q_000155,0.0,7,0%,train
q_000156,0.14285714285714285,7,1-33%,train
q_000157,0.0,4,0%,train
q_000158,0.0,7,0%,train
q_000159,0.0,3,0%,test
q_000160,0.0,6,0%,train
q_000161,0.4,5,34-100%,valid
q_000162,0.125,8,1-33%,test
q_000163,0.0,6,0%,train
q_000164,0.25,4,1-33%,valid
q_000165,0.2857142857142857,7,1-33%,train
q_000166,0.3333333333333333,6,34-100%,test
q_000167,0.0,5,0%,train
q_000168,0.14285714285714285,7,1-33%,train
q_000169,0.0,5,0%,train
q_000170,0.14285714285714285,7,1-33%,train
q_000171,0.0,2,0%,test
q_000172,0.0,3,0%,train
q_000173,0.3333333333333333,3,34-100%,train
q_000174,0.0,4,0%,valid
q_000175,0.2857142857142857,7,1-33%,train
q_000176,0.0,3,0%,train
q_000177,0.3333333333333333,3,34-100%,test
q_000178,0.0,3,0%,train
q_000179,0.0,5,0%,train
q_000180,0.0,3,0%,valid
q_000181,0.0,2,0%,train
q_000182,0.0,3,0%,train
q_000183,0.3333333333333333,3,34-100%,train
q_000184,0.0,3,0%,train
q_000185,0.25,8,1-33%,train
q_000186,0.0,7,0%,test
q_000187,0.16666666666666666,6,1-33%,train
q_000188,0.0,5,0%,train
q_000189,0.0,3,0%,train
q_000190,0.25,4,1-33%,train
q_000191,0.16666666666666666,6,1-33%,test
q_000192,0.125,8,1-33%,train
q_000193,0.0,2,0%,valid
q_000194,1.0,2,34-100%,train
q_000195,0.25,4,1-33%,train
q_000196,0.0,3,0%,train
q_000197,0.0,3,0%,train
q_000198,0.14285714285714285,7,1-33%,train
q_000199,0.125,8,1-33%,test
q_000200,0.4,5,34-100%,test
q_000201,0.0,6,0%,train
q_000202,0.0,4,0%,train
q_000203,0.125,8,1-33%,train
q_000204,0.0,2,0%,train
q_000205,0.0,4,0%,train
q_000206,0.2857142857142857,7,1-33%,test
q_000207,0.0,5,0%,test
q_000208,0.0,4,0%,train
q_000209,0.0,2,0%,train
q_000210,0.0,2,0%,train
q_000211,0.0,7,0%,train
q_000212,0.16666666666666666,6,1-33%,train
q_000213,0.375,8,34-100%,test
q_000214,0.16666666666666666,6,1-33%,train
q_000215,0.0,4,0%,train
q_000216,0.0,7,0%,train
q_000217,0.0,2,0%,valid
q_000218,0.5,4,34-100%,train
q_000219,0.375,8,34-100%,train
q_000220,0.125,8,1-33%,train
q_000221,0.0,5,0%,train
q_000222,0.14285714285714285,7,1-33%,train
q_000223,0.0,4,0%,train
q_000224,0.0,2,0%,train
q_000225,0.0,3,0%,train
q_000226,0.0,3,0%,train
q_000227,0.0,4,0%,train
q_000228,0.0,2,0%,train
q_000229,0.0,5,0%,train
q_000230,0.0,5,0%,valid
q_000231,0.0,2,0%,valid
q_000232,0.0,7,0%,valid
q_000233,0.0,6,0%,train
q_000234,0.0,2,0%,train
q_000235,0.0,8,0%,train
q_000236,0.0,7,0%,train
q_000237,0.0,2,0%,test
q_000238,0.25,4,1-33%,train
q_000239,0.2857142857142857,7,1-33%,valid
q_000240,0.16666666666666666,6,1-33%,train
q_000241,0.5,4,34-100%,train
q_000242,0.0,6,0%,test
q_000243,0.0,2,0%,valid
q_000244,0.0,8,0%,train
q_000245,0.42857142857142855,7,34-100%,train
q_000246,0.0,3,0%,train
q_000247,0.0,6,0%,train
q_000248,0.125,8,1-33%,train
q_000249,0.125,8,1-33%,valid
q_000250,0.0,3,0%,valid
q_000251,0.4,5,34-100%,train
q_000252,0.14285714285714285,7,1-33%,train
q_000253,0.25,4,1-33%,train
q_000254,0.3333333333333333,3,34-100%,valid
q_000255,0.0,2,0%,train
q_000256,0.0,3,0%,train
q_000257,0.0,4,0%,train
q_000258,0.0,5,0%,valid
q_000259,0.0,8,0%,train
q_000260,0.3333333333333333,6,34-100%,train
q_000261,0.2,5,1-33%,train
q_000262,0.0,3,0%,train
q_000263,0.0,2,0%,train
q_000264,0.125,8,1-33%,train
q_000265,0.3333333333333333,3,34-100%,test
q_000266,0.16666666666666666,6,1-33%,train
q_000267,0.125,8,1-33%,valid
q_000268,0.2,5,1-33%,train
q_000269,0.125,8,1-33%,train
q_000270,0.0,2,0%,train
q_000271,0.0,8,0%,valid
q_000272,0.3333333333333333,3,34-100%,train
q_000273,0.0,5,0%,train
q_000274,0.0,4,0%,train
q_000275,0.0,2,0%,valid
q_000276,0.5,4,34-100%,train
q_000277,0.3333333333333333,3,34-100%,train
q_000278,0.25,4,1-33%,test
q_000279,0.0,4,0%,test
q_000280,0.14285714285714285,7,1-33%,valid
q_000281,0.2,5,1-33%,train
q_000282,0.2,5,1-33%,train
q_000283,0.2,5,1-33%,train
q_000284,0.0,4,0%,train
q_000285,0.0,8,0%,train
q_000286,0.0,7,0%,test
q_000287,0.0,2,0%,valid
q_000288,0.14285714285714285,7,1-33%,valid
q_000289,0.0,8,0%,train
q_000290,0.16666666666666666,6,1-33%,train
q_000291,0.2857142857142857,7,1-33%,train
q_000292,0.0,7,0%,train
q_000293,0.4,5,34-100%,test
q_000294,0.0,2,0%,train
q_000295,0.0,2,0%,train
q_000296,0.3333333333333333,3,34-100%,valid
q_000297,0.2,5,1-33%,test
q_000298,0.0,4,0%,test
q_000299,0.0,2,0%,train
q_000300,0.0,5,0%,train
q_000301,0.2,5,1-33%,test
q_000302,0.3333333333333333,3,34-100%,train
q_000303,0.25,8,1-33%,test
q_000304,0.0,7,0%,valid
q_000305,0.0,4,0%,train
q_000306,0.125,8,1-33%,train
q_000307,0.3333333333333333,3,34-100%,train
q_000308,0.125,8,1-33%,train
q_000309,0.0,4,0%,test
q_000310,0.2,5,1-33%,train
q_000311,0.0,4,0%,train
q_000312,0.0,8,0%,train
q_000313,0.0,6,0%,train
q_000314,0.0,7,0%,train
q_000315,0.0,5,0%,valid
q_000316,0.0,3,0%,train
q_000317,0.0,4,0%,train
q_000318,0.0,5,0%,train
q_000319,0.0,3,0%,valid
q_000320,0.25,8,1-33%,train
q_000321,0.5,2,34-100%,train
q_000322,0.6666666666666666,3,34-100%,test
q_000323,0.0,2,0%,train
q_000324,0.2857142857142857,7,1-33%,train
q_000325,0.25,8,1-33%,train
q_000326,0.2857142857142857,7,1-33%,train
q_000327,0.0,3,0%,train
q_000328,0.0,6,0%,train
q_000329,0.0,8,0%,train
q_000330,0.0,7,0%,train
q_000331,0.0,7,0%,train
q_000332,0.2,5,1-33%,train
q_000333,0.0,6,0%,train
q_000334,0.0,5,0%,train
q_000335,0.3333333333333333,3,34-100%,train
q_000336,0.0,2,0%,train
q_000337,0.0,3,0%,train
q_000338,0.0,2,0%,train
q_000339,0.2857142857142857,7,1-33%,valid
q_000340,0.0,2,0%,train
q_000341,0.0,6,0%,valid
q_000342,0.0,2,0%,train
q_000343,0.0,8,0%,train
q_000344,0.0,4,0%,test
q_000345,0.0,5,0%,test
q_000346,0.3333333333333333,6,34-100%,train
q_000347,0.2,5,1-33%,train
q_000348,0.0,8,0%,train
q_000349,1.0,2,34-100%,train
q_000350,0.2,5,1-33%,train
q_000351,0.0,3,0%,test
q_000352,0.0,4,0%,train
q_000353,0.16666666666666666,6,1-33%,train
q_000354,0.0,8,0%,train
q_000355,0.0,3,0%,train
q_000356,0.2,5,1-33%,train
q_000357,0.0,6,0%,train
q_000358,0.0,5,0%,train
q_000359,0.2,5,1-33%,train
q_000360,0.25,8,1-33%,train
q_000361,0.14285714285714285,7,1-33%,valid
q_000362,0.2,5,1-33%,test
q_000363,0.25,8,1-33%,train
q_000364,0.0,2,0%,train
q_000365,0.0,3,0%,train
q_000366,0.0,5,0%,test
q_000367,0.16666666666666666,6,1-33%,train
q_000368,0.25,4,1-33%,test
q_000369,0.2857142857142857,7,1-33%,test
q_000370,0.25,8,1-33%,train
q_000371,0.0,6,0%,train
q_000372,0.0,5,0%,train
q_000373,0.0,3,0%,valid
q_000374,0.14285714285714285,7,1-33%,test
q_000375,0.0,3,0%,test
q_000376,0.125,8,1-33%,train
q_000377,0.0,2,0%,test
q_000378,0.5,2,34-100%,test
q_000379,0.2,5,1-33%,train
q_000380,0.0,4,0%,train
q_000381,0.0,7,0%,train
q_000382,0.0,8,0%,valid
q_000383,0.5,6,34-100%,train
q_000384,0.0,2,0%,valid
q_000385,0.0,5,0%,valid
q_000386,0.0,4,0%,train
q_000387,0.2,5,1-33%,train
q_000388,0.16666666666666666,6,1-33%,train
q_000389,0.25,4,1-33%,train
q_000390,0.125,8,1-33%,train
q_000391,0.0,3,0%,train
q_000392,0.5714285714285714,7,34-100%,train
q_000393,0.0,3,0%,train
q_000394,0.0,7,0%,train
q_000395,0.0,2,0%,train
q_000396,0.4,5,34-100%,train
q_000397,0.0,3,0%,train
q_000398,0.2,5,1-33%,test
q_000399,0.0,7,0%,train
q_000400,0.375,8,34-100%,valid
q_000401,0.0,2,0%,train
q_000402,0.3333333333333333,3,34-100%,train
q_000403,0.2,5,1-33%,train
q_000404,0.0,3,0%,test
q_000405,0.0,4,0%,test
q_000406,0.0,5,0%,train
q_000407,0.2,5,1-33%,train
q_000408,0.0,3,0%,test
q_000409,0.25,4,1-33%,test
q_000410,0.0,5,0%,train
q_000411,0.0,3,0%,train
q_000412,0.0,3,0%,train
q_000413,0.0,3,0%,train
q_000414,0.0,5,0%,test
q_000415,0.25,8,1-33%,test
q_000416,0.3333333333333333,3,34-100%,test
q_000417,0.0,8,0%,train
q_000418,0.125,8,1-33%,valid
q_000419,0.0,8,0%,train
q_000420,0.0,2,0%,train
q_000421,0.3333333333333333,3,34-100%,train
q_000422,0.0,5,0%,train
q_000423,0.25,4,1-33%,test
q_000424,0.5,6,34-100%,train
q_000425,0.4,5,34-100%,train
q_000426,0.0,2,0%,train
q_000427,0.0,6,0%,test
q_000428,0.16666666666666666,6,1-33%,test
q_000429,0.0,3,0%,train
q_000430,0.125,8,1-33%,train
q_000431,0.0,8,0%,valid
q_000432,0.14285714285714285,7,1-33%,train
q_000433,0.0,2,0%,valid
q_000434,0.2,5,1-33%,test
q_000435,0.5,2,34-100%,test
q_000436,0.16666666666666666,6,1-33%,train
q_000437,0.0,2,0%,train
q_000438,0.0,8,0%,train
q_000439,0.0,6,0%,train
q_000440,0.0,8,0%,train
q_000441,0.5,2,34-100%,train
q_000442,0.0,7,0%,train
q_000443,0.0,2,0%,train
q_000444,0.25,8,1-33%,train
q_000445,0.0,2,0%,valid
q_000446,0.2,5,1-33%,train
q_000447,0.14285714285714285,7,1-33%,valid
q_000448,0.0,4,0%,valid
q_000449,0.3333333333333333,3,34-100%,train
q_000450,0.2857142857142857,7,1-33%,train
q_000451,0.0,2,0%,test
q_000452,0.0,7,0%,train
q_000453,0.25,8,1-33%,train
q_000454,0.125,8,1-33%,test
q_000455,0.0,6,0%,train
q_000456,0.0,2,0%,train
q_000457,0.0,5,0%,test
q_000458,0.5,2,34-100%,train
q_000459,0.25,4,1-33%,train
q_000460,0.2,5,1-33%,train
q_000461,0.25,4,1-33%,train
q_000462,0.0,2,0%,train
q_000463,0.375,8,34-100%,train
q_000464,0.125,8,1-33%,test
q_000465,0.3333333333333333,6,34-100%,train
q_000466,0.0,7,0%,train
q_000467,0.0,8,0%,train
q_000468,1.0,2,34-100%,train
q_000469,0.0,3,0%,train
q_000470,0.0,2,0%,test
q_000471,0.0,6,0%,valid
q_000472,0.0,4,0%,test
q_000473,0.0,3,0%,train
q_000474,0.25,4,1-33%,train
q_000475,0.5,2,34-100%,train
q_000476,0.3333333333333333,6,34-100%,test
q_000477,0.25,8,1-33%,train
q_000478,0.0,5,0%,train
q_000479,0.0,8,0%,train
q_000480,0.0,5,0%,train
q_000481,0.14285714285714285,7,1-33%,train
q_000482,0.0,2,0%,test
q_000483,0.0,4,0%,train
q_000484,0.0,4,0%,train
q_000485,0.0,3,0%,train
q_000486,0.0,7,0%,test
q_000487,0.3333333333333333,3,34-100%,train
q_000488,0.0,4,0%,train
q_000489,0.2857142857142857,7,1-33%,train
q_000490,0.0,4,0%,train
q_000491,0.14285714285714285,7,1-33%,train
q_000492,0.0,3,0%,train
q_000493,0.125,8,1-33%,train
q_000494,0.0,4,0%,train
q_000495,0.0,5,0%,test
q_000496,0.0,5,0%,train
q_000497,0.125,8,1-33%,train
q_000498,0.0,6,0%,test
q_000499,0.0,5,0%,test
q_000500,0.0,4,0%,train
q_000501,0.0,4,0%,train
q_000502,0.3333333333333333,3,34-100%,train
q_000503,0.2,5,1-33%,valid
q_000504,0.0,4,0%,train
q_000505,0.0,7,0%,train
q_000506,0.3333333333333333,3,34-100%,test
q_000507,0.42857142857142855,7,34-100%,test
q_000508,0.4,5,34-100%,train
q_000509,0.16666666666666666,6,1-33%,valid
q_000510,0.25,8,1-33%,train
q_000511,0.0,8,0%,train
q_000512,0.0,2,0%,valid
q_000513,0.0,7,0%,train
q_000514,0.0,8,0%,train
q_000515,0.0,3,0%,valid
q_000516,0.0,2,0%,train
q_000517,0.2,5,1-33%,valid
q_000518,0.2,5,1-33%,train
q_000519,0.0,4,0%,train
q_000520,0.0,3,0%,test
q_000521,0.16666666666666666,6,1-33%,test
q_000522,0.0,3,0%,train
q_000523,0.25,4,1-33%,test
q_000524,0.0,4,0%,train
q_000525,0.2857142857142857,7,1-33%,train
q_000526,0.2,5,1-33%,train
q_000527,0.2857142857142857,7,1-33%,test
q_000528,0.0,4,0%,train
q_000529,0.0,6,0%,train
q_000530,0.125,8,1-33%,test
q_000531,0.0,3,0%,train
q_000532,0.6666666666666666,3,34-100%,train
q_000533,0.0,7,0%,valid
q_000534,0.3333333333333333,6,34-100%,test
q_000535,0.0,5,0%,train
q_000536,0.125,8,1-33%,train
q_000537,0.0,2,0%,train
q_000538,0.5,2,34-100%,test
q_000539,0.0,6,0%,train
q_000540,0.0,8,0%,train
q_000541,0.0,6,0%,valid
q_000542,0.125,8,1-33%,train
q_000543,0.0,3,0%,train
q_000544,0.0,6,0%,valid
q_000545,0.0,2,0%,train
q_000546,0.0,4,0%,test
q_000547,0.0,7,0%,train
q_000548,0.0,8,0%,train
q_000549,0.0,3,0%,train
q_000550,0.125,8,1-33%,train
q_000551,0.14285714285714285,7,1-33%,train
q_000552,0.0,4,0%,train
q_000553,0.16666666666666666,6,1-33%,train
q_000554,0.0,3,0%,train
q_000555,0.0,8,0%,valid
q_000556,0.16666666666666666,6,1-33%,train
q_000557,0.0,2,0%,train
q_000558,0.0,3,0%,train
q_000559,0.5,2,34-100%,train
q_000560,0.3333333333333333,6,34-100%,train
q_000561,0.0,3,0%,train
q_000562,0.0,5,0%,train
q_000563,0.0,4,0%,train
q_000564,0.5,2,34-100%,train
q_000565,0.0,2,0%,train
q_000566,0.0,7,0%,train
q_000567,0.0,3,0%,train
q_000568,0.0,2,0%,train
q_000569,0.0,4,0%,train
q_000570,0.0,5,0%,train
q_000571,0.14285714285714285,7,1-33%,train
q_000572,0.2857142857142857,7,1-33%,train
q_000573,0.0,6,0%,valid
q_000574,0.6666666666666666,3,34-100%,test
q_000575,0.0,2,0%,train
q_000576,0.0,8,0%,test
q_000577,0.14285714285714285,7,1-33%,test
q_000578,0.14285714285714285,7,1-33%,train
q_000579,0.14285714285714285,7,1-33%,test
q_000580,0.2,5,1-33%,test
q_000581,0.25,4,1-33%,valid
q_000582,0.0,5,0%,train
q_000583,0.0,8,0%,train
q_000584,0.16666666666666666,6,1-33%,valid
q_000585,0.125,8,1-33%,train
q_000586,0.16666666666666666,6,1-33%,valid
q_000587,0.0,3,0%,train
q_000588,0.0,2,0%,train
q_000589,0.125,8,1-33%,train
q_000590,0.42857142857142855,7,34-100%,train
q_000591,0.2,5,1-33%,train
q_000592,0.0,5,0%,train
q_000593,0.125,8,1-33%,train
q_000594,0.0,6,0%,train
q_000595,0.5,4,34-100%,test
q_000596,0.0,5,0%,train
q_000597,0.25,4,1-33%,train
q_000598,0.0,5,0%,test
q_000599,0.3333333333333333,6,34-100%,train
q_000600,0.0,4,0%,train
q_000601,0.14285714285714285,7,1-33%,train
q_000602,0.0,5,0%,train
q_000603,0.0,6,0%,train
q_000604,0.125,8,1-33%,train
q_000605,0.0,4,0%,train
q_000606,0.0,2,0%,test
q_000607,0.125,8,1-33%,train
q_000608,0.14285714285714285,7,1-33%,train
q_000609,0.4,5,34-100%,valid
q_000610,0.0,5,0%,train
q_000611,0.3333333333333333,6,34-100%,train
q_000612,0.0,3,0%,train
q_000613,0.25,4,1-33%,train
q_000614,0.5,6,34-100%,train
q_000615,0.2,5,1-33%,train
q_000616,0.5,6,34-100%,train
q_000617,0.0,2,0%,train
q_000618,0.0,6,0%,train
q_000619,0.25,4,1-33%,train
q_000620,0.0,5,0%,train
q_000621,0.125,8,1-33%,test
q_000622,0.0,5,0%,train
q_000623,0.25,8,1-33%,train
q_000624,0.0,8,0%,valid
q_000625,0.5,4,34-100%,test
q_000626,1.0,2,34-100%,valid
q_000627,0.0,2,0%,train
q_000628,0.0,3,0%,valid
q_000629,0.0,2,0%,train
q_000630,0.0,2,0%,train
q_000631,0.0,2,0%,train
q_000632,0.0,2,0%,test
q_000633,0.0,2,0%,train
q_000634,0.5,2,34-100%,train
q_000635,0.0,3,0%,valid
q_000636,0.0,8,0%,train
q_000637,0.0,7,0%,test
q_000638,0.0,3,0%,valid
q_000639,0.3333333333333333,3,34-100%,valid
q_000640,0.0,6,0%,train
q_000641,0.0,3,0%,train
q_000642,0.0,5,0%,train
q_000643,0.25,4,1-33%,valid
q_000644,0.0,8,0%,train
q_000645,0.0,7,0%,train
q_000646,0.0,4,0%,train
q_000647,0.0,4,0%,train
q_000648,0.0,3,0%,train
q_000649,0.16666666666666666,6,1-33%,train
q_000650,0.0,5,0%,train
q_000651,0.5,4,34-100%,train
q_000652,0.125,8,1-33%,train
q_000653,0.0,6,0%,valid
q_000654,0.0,4,0%,train
q_000655,0.0,2,0%,train
q_000656,0.0,2,0%,train
q_000657,0.3333333333333333,3,34-100%,train
q_000658,0.0,3,0%,train
q_000659,0.25,8,1-33%,train
q_000660,0.0,3,0%,train
q_000661,0.125,8,1-33%,train
q_000662,1.0,2,34-100%,train
q_000663,0.2857142857142857,7,1-33%,train
q_000664,0.5,2,34-100%,valid
q_000665,0.0,6,0%,train
q_000666,0.0,3,0%,train
q_000667,0.0,5,0%,valid
q_000668,0.0,4,0%,train
q_000669,0.0,4,0%,train
q_000670,0.0,4,0%,train
q_000671,0.5,2,34-100%,train
q_000672,0.0,2,0%,train
q_000673,0.0,7,0%,train
q_000674,0.16666666666666666,6,1-33%,test
q_000675,0.0,3,0%,train
q_000676,0.0,5,0%,valid
q_000677,0.125,8,1-33%,train
q_000678,0.14285714285714285,7,1-33%,train
q_000679,0.0,5,0%,train
q_000680,0.0,8,0%,train
q_000681,0.14285714285714285,7,1-33%,train
q_000682,0.5,2,34-100%,train
q_000683,0.2857142857142857,7,1-33%,train
q_000684,0.0,7,0%,test
q_000685,0.16666666666666666,6,1-33%,train
q_000686,0.0,4,0%,train
q_000687,0.16666666666666666,6,1-33%,train
q_000688,0.25,4,1-33%,train
q_000689,0.0,3,0%,valid
q_000690,0.16666666666666666,6,1-33%,valid
q_000691,0.0,6,0%,test
q_000692,0.0,2,0%,train
q_000693,0.3333333333333333,6,34-100%,test
q_000694,0.14285714285714285,7,1-33%,train
q_000695,0.16666666666666666,6,1-33%,train
q_000696,0.125,8,1-33%,train
q_000697,0.0,6,0%,train
q_000698,0.14285714285714285,7,1-33%,train
q_000699,0.14285714285714285,7,1-33%,valid
q_000700,0.0,8,0%,train
q_000701,0.0,4,0%,train
q_000702,0.25,8,1-33%,test
q_000703,0.25,8,1-33%,train
q_000704,0.0,4,0%,valid
q_000705,0.2,5,1-33%,valid
q_000706,0.0,2,0%,test
q_000707,0.0,2,0%,valid
q_000708,0.125,8,1-33%,train
q_000709,0.0,4,0%,valid
q_000710,0.0,6,0%,train
q_000711,0.0,5,0%,valid
q_000712,0.0,3,0%,train
q_000713,0.25,8,1-33%,train
q_000714,0.3333333333333333,3,34-100%,train
q_000715,0.0,3,0%,test
q_000716,0.25,8,1-33%,train
q_000717,0.0,5,0%,valid
q_000718,1.0,3,34-100%,train
q_000719,0.0,8,0%,train
q_000720,0.5,6,34-100%,train
q_000721,0.14285714285714285,7,1-33%,valid
q_000722,0.2857142857142857,7,1-33%,valid
q_000723,0.0,3,0%,train
q_000724,0.0,5,0%,train
q_000725,0.125,8,1-33%,train
q_000726,0.3333333333333333,3,34-100%,train
q_000727,0.0,2,0%,train
q_000728,0.125,8,1-33%,train
q_000729,0.0,6,0%,valid
q_000730,0.5,2,34-100%,train
q_000731,0.0,6,0%,train
q_000732,0.2,5,1-33%,train
q_000733,0.25,4,1-33%,train
q_000734,0.25,4,1-33%,test
q_000735,0.4,5,34-100%,train
q_000736,0.14285714285714285,7,1-33%,test
q_000737,0.2,5,1-33%,train
q_000738,0.0,6,0%,train
q_000739,0.0,8,0%,valid
q_000740,0.0,7,0%,test
q_000741,0.16666666666666666,6,1-33%,valid
q_000742,0.0,4,0%,valid
q_000743,0.3333333333333333,6,34-100%,train
q_000744,0.0,7,0%,valid
q_000745,0.25,4,1-33%,train
q_000746,0.0,8,0%,train
q_000747,0.0,2,0%,train
q_000748,0.125,8,1-33%,train
q_000749,0.0,4,0%,test
q_000750,0.14285714285714285,7,1-33%,train
q_000751,0.0,2,0%,train
q_000752,0.125,8,1-33%,train
q_000753,0.0,8,0%,train
q_000754,0.0,3,0%,train
q_000755,0.14285714285714285,7,1-33%,train
q_000756,0.14285714285714285,7,1-33%,train
q_000757,0.16666666666666666,6,1-33%,train
q_000758,0.5,2,34-100%,train
q_000759,0.0,2,0%,test
q_000760,0.25,4,1-33%,valid
q_000761,0.3333333333333333,3,34-100%,train
q_000762,0.6666666666666666,3,34-100%,train
q_000763,0.0,2,0%,train
q_000764,0.16666666666666666,6,1-33%,train
q_000765,0.0,4,0%,train
q_000766,0.0,5,0%,train
q_000767,0.16666666666666666,6,1-33%,train
q_000768,0.0,3,0%,valid
q_000769,0.0,3,0%,valid
q_000770,0.25,8,1-33%,train
q_000771,0.0,2,0%,train
q_000772,0.0,6,0%,train
q_000773,0.0,3,0%,valid
q_000774,0.125,8,1-33%,train
q_000775,0.0,4,0%,train
