price,net_weight_oz,nutrition_score,etapa
11.73,11.68,66.0,original
9.24,11.44,48.0,original
9.16,32.6,59.0,original
1.9,30.38,61.0,original
4.72,20.12,22.0,original
6.78,20.41,22.0,original
9.01,7.94,61.0,original
7.61,6.2,45.0,original
7.76,7.73,27.0,original
6.83,21.17,45.0,original
8.71,11.51,51.0,original
1.86,14.88,69.0,original
12.28,31.33,41.0,original
7.92,12.27,55.0,original
5.14,11.23,51.0,original
2.67,16.47,50.0,original
7.68,23.05,75.0,original
2.37,13.2,40.0,original
4.23,14.03,34.0,original
5.53,12.28,40.0,original
4.34,20.11,36.0,original
5.43,18.58,63.0,original
2.53,15.07,55.0,original
3.95,10.33,66.0,original
6.65,29.46,61.0,original
13.98,14.84,33.0,original
13.52,11.67,54.0,original
9.14,31.46,62.0,original
9.84,23.03,74.0,original
3.7,22.59,67.0,original
13.21,24.76,69.0,original
6.55,23.0,42.0,original
3.41,32.62,27.0,original
3.21,15.93,34.0,original
6.77,24.26,52.0,original
4.61,15.02,45.0,original
8.76,49.13,87.0,original
6.23,11.73,97.0,original
6.8,17.05,82.0,original
7.72,45.42,82.0,original
26.02,12.64,74.0,original
17.82,11.98,72.0,original
7.26,7.55,65.0,original
18.82,16.95,61.0,original
8.79,12.57,59.0,original
11.03,7.64,63.0,original
28.07,14.83,62.0,original
8.8,8.28,50.0,original
2.65,19.69,20.0,original
9.43,32.88,62.0,original
21.99,16.68,85.0,original
13.26,32.91,64.0,original
26.46,33.95,75.0,original
7.33,32.82,87.0,original
7.34,29.94,77.0,original
19.68,30.81,79.0,original
11.03,15.46,61.0,original
5.38,23.74,47.0,original
4.19,34.23,51.0,original
7.83,30.66,41.0,original
12.8,9.29,48.0,original
10.97,33.97,59.0,original
7.96,24.18,45.0,original
6.2,15.39,0.0,original
14.26,17.84,0.0,original
6.38,7.36,0.0,original
4.54,11.9,0.0,original
3.24,17.02,0.0,original
8.03,12.99,0.0,original
18.68,77.47,0.0,original
24.5,9.61,0.0,original
5.75,30.89,40.0,original
12.91,31.27,37.0,original
1.84,14.8,51.0,original
5.31,17.15,71.0,original
12.3,16.38,61.0,original
2.04,12.49,35.0,original
2.13,15.44,66.0,original
7.66,9.33,64.0,original
10.24,32.98,66.0,original
4.19,15.84,51.0,original
8.05,33.21,55.0,original
3.67,32.63,31.0,original
4.18,15.29,41.0,original
9.08,12.59,37.0,original
9.99,12.91,40.0,original
8.31,33.38,48.0,original
6.06,17.14,35.0,original
6.01,71.17,71.0,original
1.49,63.74,22.0,original
9.89,67.57,50.0,original
2.77,66.98,32.0,original
9.09,152.57,82.0,original
5.61,11.75,53.0,original
5.67,12.09,66.0,original
6.57,6.44,19.0,original
6.84,8.59,52.0,original
7.42,7.73,44.0,original
4.54,7.67,21.0,original
6.31,7.75,41.0,original
6.98,32.44,83.0,original
6.39,51.68,85.0,original
4.72,12.07,99.0,original
8.84,29.9,85.0,original
3.29,29.77,82.0,original
3.4,16.91,91.0,original
8.66,44.79,91.0,original
7.62,29.99,79.0,original
9.48,48.39,0.0,original
5.37,9.93,0.0,original
9.84,9.4,0.0,original
17.08,9.88,0.0,original
12.98,71.06,0.0,original
3.21,37.39,0.0,original
21.64,40.34,0.0,original
23.7,49.84,0.0,original
13.91,11.99,0.0,original
12.01,7.77,0.0,original
12.51,12.01,0.0,original
5.26,12.26,0.0,original
6.23,7.79,0.0,original
12.12,8.47,0.0,original
15.2,11.78,0.0,original
15.71,7.56,0.0,original
5.33,11.58,99.0,original
5.72,31.03,97.0,original
9.1,46.82,68.0,original
22.9,16.51,49.0,original
9.13,33.26,42.0,original
14.38,25.3,49.0,original
5.39,15.72,42.0,original
13.97,16.76,68.0,original
29.58,14.83,86.0,original
20.59,17.22,56.0,original
10.9,11.76,79.0,original
3.46,6.39,38.0,original
3.95,8.01,30.0,original
8.09,7.96,19.0,original
8.88,11.3,18.0,original
13.82,26.04,79.0,original
21.66,34.27,50.0,original
23.55,30.73,69.0,original
3.03,13.05,75.0,original
2.12,142.63,57.0,original
6.3,11.69,82.0,original
10.58,11.51,35.0,original
5.51,70.79,82.0,original
10.87,11.76,41.0,original
11.16,63.81,37.0,original
2.14,151.11,57.0,original
12.12,14.99,40.0,original
12.01,15.99,31.0,original
10.5,34.51,40.0,original
11.74,15.85,35.0,original
2.2,12.9,79.0,original
6.44,15.02,98.0,original
18.44,33.6,59.0,original
13.16,8.08,87.0,original
6.87,16.27,70.0,original
10.88,29.87,89.0,original
18.75,8.59,62.0,original
23.47,11.77,88.0,original
6.22,16.78,71.0,original
6.67,11.57,54.0,original
5.91,17.94,61.0,original
4.75,18.95,53.0,original
6.91,11.05,56.0,original
7.43,17.92,40.0,original
6.25,31.36,73.0,original
7.12,15.83,63.0,original
4.54,22.8,50.0,original
2.19,11.74,36.0,original
3.3,14.41,51.0,original
4.41,11.62,46.0,original
5.82,12.38,65.0,original
3.1,20.01,41.0,original
6.95,12.88,60.0,original
5.27,21.43,47.0,original
5.69,25.48,52.0,original
8.01,25.04,82.0,original
2.5,14.77,57.0,original
3.38,25.88,69.0,original
8.41,32.59,52.0,original
5.67,15.55,79.0,original
4.01,134.08,48.0,original
14.52,14.08,74.0,original
7.48,14.93,51.0,original
5.16,32.28,40.0,original
2.09,49.13,81.0,original
1.66,30.82,79.0,original
5.81,12.76,78.0,original
4.06,47.6,87.0,original
4.79,48.36,81.0,original
7.9,34.25,89.0,original
7.86,16.62,82.0,original
2.83,15.18,91.0,original
3.12,127.38,59.0,original
5.15,31.61,75.0,original
8.09,138.53,77.0,original
10.04,70.15,84.0,original
10.32,63.35,56.0,original
13.42,16.71,52.0,original
11.58,10.64,31.0,original
8.44,30.1,42.0,original
9.6,14.96,23.0,original
13.24,16.58,27.0,original
3.37,29.96,62.0,original
4.71,34.53,29.0,original
8.58,12.47,94.0,original
2.12,12.18,97.0,original
7.38,11.1,91.0,original
2.92,32.32,97.0,original
8.26,12.18,59.0,original
5.19,6.32,40.0,original
8.03,33.85,47.0,original
20.44,25.63,62.0,original
22.47,32.3,46.0,original
11.62,49.19,65.0,original
13.3,15.34,43.0,original
7.99,14.85,60.0,original
8.56,15.43,48.0,original
7.57,33.81,46.0,original
3.0,135.0,84.0,original
4.11,13.16,34.0,original
11.02,147.2,53.0,original
8.54,64.54,79.0,original
2.68,61.51,52.0,original
10.83,35.07,32.0,original
5.7,15.07,70.0,original
5.96,31.41,48.0,original
4.17,16.62,56.0,original
4.74,22.48,55.0,original
5.42,23.91,65.0,original
9.85,123.73,48.0,original
15.15,17.07,53.0,original
6.44,16.0,57.0,original
8.11,29.99,54.0,original
20.48,16.79,76.0,original
10.01,48.96,75.0,original
14.59,16.09,45.0,original
15.56,23.98,68.0,original
14.71,17.1,43.0,original
5.91,23.67,45.0,original
12.7,15.36,56.0,original
6.76,15.24,55.0,original
5.06,18.54,36.0,original
6.14,21.45,63.0,original
4.52,13.16,35.0,original
2.8,11.54,48.0,original
3.27,14.23,49.0,original
13.94,25.58,62.0,original
14.12,48.3,75.0,original
15.69,46.94,72.0,original
6.13,19.15,64.0,original
7.22,18.61,56.0,original
3.42,12.33,40.0,original
3.72,12.14,41.0,original
3.68,14.22,47.0,original
3.97,15.05,66.0,original
4.25,8.22,49.0,original
9.62,21.44,60.0,original
2.9,20.41,60.0,original
14.15,30.77,69.0,original
27.88,8.58,76.0,original
24.11,15.78,56.0,original
18.1,30.11,59.0,original
10.85,32.06,84.0,original
6.48,11.91,58.0,original
7.05,32.12,46.0,original
2.54,33.07,74.0,original
3.08,15.6,48.0,original
11.14,15.93,63.0,original
9.04,11.16,70.0,original
5.04,13.99,41.0,original
8.54,22.71,80.0,original
6.17,16.98,76.0,original
3.57,15.85,43.0,original
11.11,10.58,52.0,original
5.68,9.91,56.0,original
7.59,9.51,33.0,original
9.29,9.39,42.0,original
5.15,7.72,0.0,original
6.85,15.78,0.0,original
9.88,7.96,0.0,original
12.52,12.11,0.0,original
6.37,20.3,55.0,original
4.72,13.29,34.0,original
3.36,12.76,35.0,original
3.7,13.35,43.0,original
4.43,13.24,59.0,original
7.55,15.58,94.0,original
3.55,50.05,83.0,original
3.95,33.16,86.0,original
1.46,15.58,90.0,original
3.42,11.45,83.0,original
2.99,44.91,88.0,original
6.66,12.68,95.0,original
2.49,49.93,78.0,original
11.63,12.14,52.0,original
13.96,15.86,40.0,original
22.41,34.28,85.0,original
22.4,8.5,70.0,original
24.78,8.23,59.0,original
24.18,31.63,71.0,original
13.93,33.29,83.0,original
9.51,15.94,63.0,original
17.25,72.27,0.0,original
19.3,71.99,0.0,original
8.62,52.55,0.0,original
15.87,66.94,0.0,original
9.41,16.23,48.0,original
7.9,30.01,54.0,original
4.91,24.01,61.0,original
6.01,22.96,31.0,original
12.06,22.15,40.0,original
13.53,24.86,66.0,original
9.22,16.19,50.0,original
10.64,14.57,42.0,original
6.0,12.13,66.0,original
3.94,33.63,34.0,original
11.93,16.08,42.0,original
11.92,14.28,43.0,original
14.19,11.22,37.0,original
7.35,34.36,34.0,original
3.12,14.22,45.0,original
4.19,13.62,68.0,original
3.9,18.83,42.0,original
3.82,46.68,82.0,original
2.74,44.25,89.0,original
2.03,46.78,99.0,original
2.79,17.19,94.0,original
2.06,32.99,83.0,original
1.87,11.94,78.0,original
1.83,11.79,89.0,original
13.31,12.08,51.0,original
14.49,11.21,74.0,original
9.68,30.57,65.0,original
3.52,152.12,23.0,original
9.19,12.15,61.0,original
10.43,68.1,53.0,original
8.88,32.85,31.0,original
7.11,12.15,51.0,original
10.35,151.79,43.0,original
2.23,13.42,36.0,original
11.48,12.42,28.0,original
12.27,15.39,66.0,original
14.03,15.56,71.0,original
4.2,33.94,55.0,original
5.62,13.8,54.0,original
9.89,16.19,31.0,original
11.62,9.74,34.0,original
7.39,15.44,62.0,original
3.04,9.5,69.0,original
6.17,10.66,67.0,original
9.38,33.67,31.0,original
10.11,24.38,30.0,original
11.95,23.17,47.0,original
11.33,15.84,60.0,original
20.61,15.3,43.0,original
4.55,29.64,66.0,original
22.62,47.61,64.0,original
12.08,15.83,71.0,original
15.01,45.18,54.0,original
23.74,38.97,0.0,original
16.42,39.6,0.0,original
9.85,32.43,53.0,original
7.0,16.42,44.0,original
6.99,33.97,53.0,original
9.96,25.85,25.0,original
6.86,10.38,52.0,original
12.99,15.97,64.0,original
2.1,32.42,99.0,original
6.74,48.96,84.0,original
7.82,33.02,83.0,original
5.09,49.95,80.0,original
7.0,49.74,89.0,original
2.38,11.93,82.0,original
2.44,30.55,93.0,original
1.81,31.94,81.0,original
2.62,32.55,52.0,original
6.71,34.46,79.0,original
4.34,131.14,78.0,original
5.66,15.48,72.0,original
3.97,134.68,65.0,original
4.92,16.33,66.0,original
5.51,12.09,82.0,original
5.14,14.83,82.0,original
8.21,11.05,94.0,original
6.3,31.11,81.0,original
8.14,46.93,96.0,original
20.26,33.51,42.0,original
21.11,29.83,44.0,original
5.66,23.83,72.0,original
16.91,33.07,43.0,original
7.52,29.89,76.0,original
5.07,35.46,50.0,original
3.37,16.05,79.0,original
8.16,17.01,63.0,original
5.4,143.13,69.0,original
6.34,22.66,34.0,original
3.44,19.64,50.0,original
2.04,11.86,33.0,original
7.66,7.54,19.0,original
6.55,21.02,23.0,original
2.89,8.32,18.0,original
6.1,7.86,48.0,original
9.81,23.92,75.0,original
13.51,30.99,74.0,original
14.96,32.48,57.0,original
15.25,24.72,71.0,original
6.79,48.29,58.0,original
4.88,5.98,25.0,original
3.83,5.53,33.0,original
12.99,45.12,57.0,original
20.23,15.77,66.0,original
11.98,25.11,64.0,original
21.31,31.28,70.0,original
6.15,25.33,56.0,original
15.08,46.55,45.0,original
21.73,16.71,76.0,original
12.91,25.39,57.0,original
21.82,51.55,75.0,original
7.12,23.81,57.0,original
15.56,29.71,46.0,original
11.95,14.78,70.0,original
18.02,17.28,70.0,original
4.5,23.68,55.0,original
7.37,33.8,75.0,original
20.11,33.54,56.0,original
12.0,51.44,69.0,original
3.44,16.25,27.0,original
3.44,9.26,59.0,original
9.46,14.89,53.0,original
2.76,17.25,43.0,original
3.2,12.84,59.0,original
4.77,20.51,39.0,original
2.97,12.58,47.0,original
4.7,12.07,38.0,original
2.2,19.25,59.0,original
5.08,18.1,45.0,original
3.83,18.92,52.0,original
12.99,16.73,0.0,original
8.69,7.55,0.0,original
9.79,3.23,0.0,original
3.87,3.23,0.0,original
4.71,12.32,35.0,original
6.6,5.87,29.0,original
2.73,12.78,44.0,original
9.34,11.34,59.0,original
14.5,7.44,77.0,original
7.89,29.45,72.0,original
23.33,7.71,35.0,original
8.24,32.82,77.0,original
31.01,32.12,42.0,original
8.88,34.37,65.0,original
7.97,11.98,43.0,original
6.29,67.72,68.0,original
6.97,31.96,72.0,original
9.73,31.23,52.0,original
8.71,62.53,74.0,original
3.63,31.78,77.0,original
9.45,61.83,30.0,original
5.0,16.09,50.0,original
13.31,12.12,64.0,original
3.49,11.86,63.0,original
14.36,11.66,60.0,original
8.54,15.39,61.0,original
11.66,15.76,31.0,original
11.44,30.5,61.0,original
11.31,51.99,0.0,original
8.33,70.94,0.0,original
22.05,77.14,0.0,original
14.28,70.98,0.0,original
9.36,10.28,0.0,original
5.07,39.86,0.0,original
21.8,77.75,0.0,original
21.42,75.21,0.0,original
22.48,37.34,0.0,original
6.74,39.56,0.0,original
16.86,55.67,0.0,original
10.94,40.28,0.0,original
12.59,70.34,0.0,original
8.21,54.33,0.0,original
9.28,10.01,0.0,original
21.27,29.9,79.0,original
15.69,12.65,82.0,original
22.07,12.48,75.0,original
22.23,31.19,89.0,original
26.23,12.51,71.0,original
29.95,7.37,59.0,original
26.58,8.14,59.0,original
15.37,15.41,73.0,original
3.38,61.7,45.0,original
3.55,11.66,34.0,original
2.71,64.28,26.0,original
27.07,12.8,60.0,original
26.34,30.64,62.0,original
27.6,7.94,70.0,original
29.72,32.92,89.0,original
27.4,15.32,63.0,original
16.83,16.89,77.0,original
20.64,30.85,86.0,original
10.45,15.44,31.0,original
3.38,15.19,42.0,original
8.69,11.69,41.0,original
1.84,14.98,53.0,original
8.03,16.33,68.0,original
7.91,14.06,56.0,original
8.63,11.11,69.0,original
5.52,12.87,47.0,original
1.83,15.0,51.0,original
8.53,14.9,32.0,original
12.14,34.37,70.0,original
2.93,25.29,53.0,original
4.44,16.42,68.0,original
3.81,24.88,78.0,original
4.26,24.93,67.0,original
4.66,125.43,73.0,original
4.34,15.2,69.0,original
3.79,22.19,60.0,original
11.75,13.1,55.0,original
4.46,34.16,31.0,original
3.43,11.79,34.0,original
6.88,12.43,68.0,original
22.38,15.17,90.0,original
9.07,16.57,77.0,original
6.61,11.45,64.0,original
9.03,33.85,63.0,original
14.84,7.52,83.0,original
2.72,14.12,48.0,original
4.88,18.27,46.0,original
3.15,11.42,61.0,original
4.06,18.9,39.0,original
2.39,14.66,50.0,original
8.17,51.3,46.0,original
18.59,47.85,53.0,original
12.09,23.87,47.0,original
13.81,25.53,76.0,original
14.46,24.27,42.0,original
13.94,15.49,52.0,original
21.23,29.66,58.0,original
15.24,23.36,71.0,original
5.26,18.44,56.0,original
4.44,14.85,38.0,original
3.18,18.62,55.0,original
3.64,17.32,52.0,original
4.38,14.82,51.0,original
3.99,20.63,54.0,original
21.46,3.95,88.0,original
23.47,31.93,73.0,original
27.93,31.65,55.0,original
9.61,7.61,43.0,original
13.58,15.02,49.0,original
2.66,24.13,56.0,original
11.83,23.79,62.0,original
4.43,33.88,62.0,original
11.0,30.74,43.0,original
9.87,31.68,63.0,original
10.71,10.17,43.0,original
3.54,20.02,50.0,original
5.03,20.65,43.0,original
2.38,18.97,48.0,original
4.93,13.22,45.0,original
2.25,19.88,41.0,original
4.36,14.64,53.0,original
2.73,6.39,35.0,original
2.11,5.9,57.0,original
4.96,8.05,19.0,original
8.83,11.91,53.0,original
6.86,20.32,23.0,original
4.54,7.49,20.0,original
8.77,20.24,35.0,original
2.52,7.48,48.0,original
8.56,7.91,21.0,original
6.17,12.12,54.0,original
4.05,8.61,20.0,original
5.47,7.79,52.0,original
20.95,9.73,0.0,original
5.35,10.07,0.0,original
4.18,75.52,0.0,original
22.81,10.27,0.0,original
12.63,71.31,0.0,original
10.43,10.77,35.0,original
6.62,24.49,56.0,original
7.54,34.27,67.0,original
6.26,9.2,43.0,original
6.03,16.21,36.0,original
7.6,23.01,47.0,original
3.02,14.94,47.0,original
7.15,39.3,0.0,original
7.64,9.89,0.0,original
8.29,29.78,94.0,original
6.39,32.59,82.0,original
6.47,12.91,78.0,original
6.83,15.01,46.0,original
5.52,12.29,60.0,original
8.25,12.58,30.0,original
9.84,34.89,73.0,original
8.38,23.75,61.0,original
4.47,16.61,72.0,original
8.85,25.73,71.0,original
6.71,17.2,55.0,original
12.11,16.02,50.0,original
14.36,11.55,72.0,original
8.7,30.57,31.0,original
12.26,15.12,62.0,original
7.29,14.33,66.0,original
8.5,34.21,71.0,original
3.57,21.1,25.0,original
7.54,12.63,58.0,original
2.72,7.65,43.0,original
6.5,25.51,64.0,original
5.09,25.61,57.0,original
5.47,25.28,65.0,original
12.67,32.82,66.0,original
11.84,11.86,66.0,original
1.74,31.27,38.0,original
9.19,123.6,79.0,original
3.35,136.68,60.0,original
4.53,22.54,72.0,original
8.61,129.18,74.0,original
3.52,33.75,70.0,original
7.42,35.62,74.0,original
4.19,24.97,66.0,original
7.67,31.26,51.0,original
7.24,30.86,46.0,original
22.45,45.62,69.0,original
2.79,11.34,85.0,original
7.91,14.8,96.0,original
5.42,33.75,85.0,original
10.25,35.02,0.0,original
21.82,50.88,0.0,original
3.63,75.64,0.0,original
20.91,10.61,0.0,original
14.8,66.82,0.0,original
13.67,74.45,0.0,original
2.74,13.9,56.0,original
2.98,11.52,52.0,original
6.65,17.14,66.0,original
3.04,11.4,47.0,original
2.99,14.86,44.0,original
4.19,17.89,61.0,original
7.22,18.59,40.0,original
3.83,12.76,58.0,original
2.78,12.53,45.0,original
5.31,12.45,60.0,original
5.05,14.53,44.0,original
4.3,12.1,62.0,original
4.3,18.91,45.0,original
4.34,17.57,35.0,original
7.06,18.78,63.0,original
3.39,67.6,77.0,original
7.56,12.39,74.0,original
5.63,65.79,34.0,original
11.61,61.56,61.0,original
1.2,67.17,48.0,original
9.7,65.9,77.0,original
9.04,25.03,50.0,original
9.41,9.28,30.0,original
13.21,9.72,42.0,original
7.52,30.99,60.0,original
13.18,10.39,26.0,original
22.57,30.16,49.0,original
11.09,46.52,55.0,original
6.8,15.57,54.0,original
2.34,30.45,73.0,original
13.23,11.72,47.0,original
9.72,16.99,33.0,original
10.27,14.03,40.0,original
15.76,15.18,76.0,original
13.67,34.18,69.0,original
15.15,24.42,63.0,original
18.71,29.9,42.0,original
17.87,46.52,57.0,original
18.5,44.7,66.0,original
6.33,24.51,63.0,original
2.81,16.87,51.0,original
8.65,9.26,43.0,original
5.47,31.59,62.0,original
11.17,15.16,42.0,original
9.28,10.41,35.0,original
2.63,29.51,60.0,original
4.03,17.01,51.0,original
22.1,29.95,76.0,original
6.33,23.19,68.0,original
3.96,16.24,71.0,original
7.4,16.76,50.0,original
19.92,17.28,72.0,original
8.46,16.38,53.0,original
6.24,15.25,62.0,original
15.13,30.01,48.0,original
13.03,10.65,0.0,original
16.36,52.59,0.0,original
6.25,50.49,0.0,original
5.26,11.5,78.0,original
6.47,32.95,96.0,original
1.68,12.96,79.0,original
2.75,33.33,78.0,original
4.69,46.34,91.0,original
2.44,32.78,78.0,original
1.42,34.31,92.0,original
1.76,15.45,79.0,original
3.99,34.48,80.0,original
8.82,12.43,82.0,original
4.43,24.22,56.0,original
12.34,15.43,54.0,original
6.09,24.0,37.0,original
10.44,22.71,64.0,original
8.43,22.95,55.0,original
12.42,23.27,37.0,original
9.33,10.78,28.0,original
11.2,10.14,62.0,original
17.0,24.79,75.0,original
17.01,16.71,54.0,original
20.53,25.15,71.0,original
9.29,48.65,71.0,original
11.68,15.54,51.0,original
4.75,23.19,48.0,original
3.19,32.89,53.0,original
9.3,128.09,76.0,original
8.18,126.25,75.0,original
4.11,32.78,51.0,original
9.19,15.13,57.0,original
8.76,131.74,80.0,original
8.06,15.61,74.0,original
6.89,133.5,52.0,original
7.04,23.93,75.0,original
14.92,15.2,56.0,original
13.48,15.73,32.0,original
1.56,30.26,65.0,original
3.92,15.57,61.0,original
10.19,31.46,65.0,original
1.63,34.53,64.0,original
6.19,15.38,40.0,original
9.33,16.17,55.0,original
9.63,15.13,56.0,original
5.46,34.15,59.0,original
6.77,17.0,48.0,original
4.27,31.23,67.0,original
4.76,24.8,48.0,original
7.86,130.39,77.0,original
2.54,150.65,81.0,original
3.0,61.55,71.0,original
5.45,62.39,73.0,original
8.94,31.72,22.0,original
5.72,13.4,25.0,original
1.3,152.53,65.0,original
4.43,135.12,75.0,original
5.92,15.18,60.0,original
4.45,14.87,40.0,original
