title,description,price,category,timestamp,query_id,filter_category,filter_price_min,filter_price_max,filter_storage_type,cart,bought,brand,package_size,unit_of_measure,net_weight_oz,dimensions_in,storage_type,ingredients,allergens,nutrition_score,country_of_origin
FreshField Crunchy Popcorn - 8 oz (Shopper Favorite),Crunchy popcorn in a 8 oz package for online grocery orders. Listed under snacks and intended for ambient storage. Well liked by regular shoppers.,9.44,Snacks,2026-03-21T03:51:28Z,q_000003,Snacks,1.00,12.19,Ambient,false,false,FreshField,8 oz,oz,7.83,"1.6 x 5.1 x 5.4""",Ambient,"Oil, Seasoning, Salt, Grains",None,37,United States
Purely Good Lightly Salted Salsa - 18 ct (Regular Listing),Lightly Salted salsa in a 18 ct package for online grocery orders. Listed under snacks and intended for ambient storage.,4.66,Snacks,2024-12-21T08:25:43Z,q_000003,Snacks,1.00,12.19,Ambient,true,false,Purely Good,18 ct,ct,20.16,"4.8 x 9.0 x 3.5""",Ambient,"Grains, Seasoning, Oil, Salt",Wheat,18,United States
Harvest Lane Ripe Grape Tomatoes - 1 lb (Clearance Listing),Ripe grape tomatoes in a 1 lb package for online grocery orders. Listed under produce and intended for ambient storage. Marked for limited future availability.,2.08,Produce,2026-01-23T17:33:14Z,q_000004,Produce,0.74,11.42,Ambient,true,false,Harvest Lane,1 lb,lb,17.02,"3.4 x 5.3 x 7.1""",Ambient,Whole produce,None,99,Peru
Valley Select Ripe Romaine Hearts - 2 lb (Recently Added),Ripe romaine hearts in a 2 lb package for online grocery orders. Listed under produce and intended for ambient storage. Feedback on this listing is still limited.,7.90,Produce,2025-11-17T15:53:01Z,q_000004,Produce,0.74,11.42,Ambient,true,false,Valley Select,2 lb,lb,33.47,"4.2 x 17.1 x 13.7""",Ambient,Whole produce,None,79,United States
Sunny Basket Premium Avocados - 12 oz (Low Feedback),Premium avocados in a 12 oz package for online grocery orders. Listed under produce and intended for ambient storage. Rarely reordered by past customers.,8.04,Produce,2026-03-19T02:16:47Z,q_000004,Produce,0.74,11.42,Ambient,false,false,Sunny Basket,12 oz,oz,12.34,"1.9 x 6.6 x 4.6""",Ambient,Whole produce,None,81,United States
Daily Table Lean Ham Steak - 2 lb (Current Stock),Lean ham steak in a 2 lb package for online grocery orders. Listed under meat and intended for frozen storage. Stocked as part of the regular lineup.,13.87,Meat,2024-12-18T19:21:57Z,q_000005,Meat,3.63,24.38,Frozen,false,false,Daily Table,2 lb,lb,31.65,"4.2 x 14.8 x 5.7""",Frozen,"Salt, Meat",None,61,United States
Green Fork Family Pack Beef Sirloin - 1 lb (Discontinuing Soon),Family Pack beef sirloin in a 1 lb package for online grocery orders. Listed under meat and intended for frozen storage. Marked for limited future availability.,12.66,Meat,2024-09-02T20:54:46Z,q_000005,Meat,3.63,24.38,Frozen,false,false,Green Fork,1 lb,lb,15.50,"2.9 x 3.6 x 6.8""",Frozen,"Meat, Salt",None,71,United States
Harvest Lane Sliced Plain Bagels - 6 ct (#1 Pick),Sliced plain bagels in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Rated highly by shoppers for consistent quality.,2.97,Bakery,2026-01-09T05:08:31Z,q_000006,Bakery,1.72,10.81,Ambient,false,false,Harvest Lane,6 ct,ct,13.90,"3.8 x 3.7 x 2.7""",Ambient,"Sugar, Water, Yeast, Salt, Wheat flour",Wheat,49,United States
North Star Foods Family Pack Cinnamon Raisin Bread - 12 oz (Current Stock),Family Pack cinnamon raisin bread in a 12 oz package for online grocery orders. Listed under bakery and intended for ambient storage. Ships as part of regular inventory.,3.56,Bakery,2025-09-30T07:59:06Z,q_000006,Bakery,1.72,10.81,Ambient,false,false,North Star Foods,12 oz,oz,12.86,"1.8 x 4.9 x 4.7""",Ambient,"Salt, Sugar, Yeast, Water, Wheat flour",Wheat,62,United States
Riverbend Low Fat Cottage Cheese - 1 gal (Unrated Listing),Low Fat cottage cheese in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage. A newer addition to the catalog.,2.53,Dairy,2025-02-24T16:00:40Z,q_000007,Dairy,2.14,12.92,Refrigerated,false,false,Riverbend,1 gal,gal,131.70,"7.6 x 15.4 x 12.0""",Refrigerated,"Cream, Salt, Cultures, Milk",Milk,78,United States
Cedar House Family Size Sharp Cheddar - 24 oz (Current Stock),Family Size sharp cheddar in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Stocked as part of the regular lineup.,8.99,Dairy,2025-12-04T07:26:42Z,q_000007,Dairy,2.14,12.92,Refrigerated,false,false,Cedar House,24 oz,oz,25.85,"3.5 x 12.1 x 10.0""",Refrigerated,"Milk, Cream, Salt, Cultures",Milk,56,United States
Oak & Grain Fresh Baked Whole Wheat Bread - 6 ct (Well Reviewed),Fresh Baked whole wheat bread in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. A dependable pick according to reviews.,5.74,Bakery,2025-06-26T17:53:28Z,q_000008,Bakery,2.07,8.06,Ambient,false,false,Oak & Grain,6 ct,ct,15.01,"3.2 x 7.7 x 2.8""",Ambient,"Water, Wheat flour, Yeast, Salt, Sugar",Wheat,64,United States
Sunny Basket Family Pack Whole Wheat Bread - 6 ct (Rarely Reordered),Family Pack whole wheat bread in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Rarely reordered by past customers.,5.89,Bakery,2025-07-18T04:36:13Z,q_000008,Bakery,2.07,8.06,Ambient,false,false,Sunny Basket,6 ct,ct,14.96,"2.5 x 5.0 x 6.2""",Ambient,"Sugar, Salt, Water, Wheat flour, Yeast",Wheat,40,United States
Purely Good Fresh Baked Dinner Rolls - 20 oz (Regular Listing),Fresh Baked dinner rolls in a 20 oz package for online grocery orders. Listed under bakery and intended for ambient storage. Available for standard online ordering.,4.50,Bakery,2025-09-26T07:35:13Z,q_000008,Bakery,2.07,8.06,Ambient,false,false,Purely Good,20 oz,oz,21.47,"3.8 x 7.1 x 2.9""",Ambient,"Salt, Water, Sugar, Wheat flour, Yeast",Wheat,63,Spain
Purely Good Soft Croissants - 20 oz (Clearance Listing),Soft croissants in a 20 oz package for online grocery orders. Listed under bakery and intended for ambient storage. One of the less-repurchased items in its aisle.,3.47,Bakery,2024-09-15T06:07:48Z,q_000008,Bakery,2.07,8.06,Ambient,true,false,Purely Good,20 oz,oz,19.08,"2.2 x 6.5 x 3.8""",Ambient,"Yeast, Sugar, Water, Salt, Wheat flour",Wheat,39,United States
Cedar House Family Size Breakfast Burritos - 24 oz (Clearance Listing),Family Size breakfast burritos in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Marked for limited future availability.,10.78,Frozen,2025-11-29T06:22:16Z,q_000009,Frozen,1.94,16.43,Frozen,false,false,Cedar House,24 oz,oz,24.78,"5.1 x 10.2 x 10.7""",Frozen,"Salt, Spices, Prepared ingredients",Wheat,29,United States
Purely Good Family Size Vanilla Ice Cream - 16 oz (Well Reviewed),Family Size vanilla ice cream in a 16 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Well liked by regular shoppers.,13.69,Frozen,2026-06-26T03:05:57Z,q_000009,Frozen,1.94,16.43,Frozen,false,false,Purely Good,16 oz,oz,15.64,"2.0 x 8.8 x 3.3""",Frozen,"Salt, Prepared ingredients, Spices",Soy,24,United States
Purely Good Frozen Spinach Ravioli - 10 oz (Popular Choice),Frozen spinach ravioli in a 10 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Often recommended by repeat customers.,13.40,Frozen,2024-10-26T02:17:45Z,q_000009,Frozen,1.94,16.43,Frozen,false,false,Purely Good,10 oz,oz,9.84,"2.6 x 5.7 x 4.2""",Frozen,"Prepared ingredients, Spices, Salt",Wheat,58,United States
Purely Good Crispy Green Peas - 24 oz (Popular Choice),Crispy green peas in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Generally receives positive feedback.,10.08,Frozen,2026-07-06T09:07:35Z,q_000009,Frozen,1.94,16.43,Frozen,false,false,Purely Good,24 oz,oz,24.26,"2.8 x 6.7 x 8.4""",Frozen,"Prepared ingredients, Spices, Salt",Wheat,38,United States
Cedar House Frozen Spinach Ravioli - 16 oz (Regular Listing),Frozen spinach ravioli in a 16 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Available for standard online ordering.,5.08,Frozen,2026-05-08T17:57:33Z,q_000009,Frozen,1.94,16.43,Frozen,false,false,Cedar House,16 oz,oz,17.09,"3.7 x 9.1 x 4.5""",Frozen,"Spices, Prepared ingredients, Salt",Milk,56,United States
Daily Table Creamy Spaghetti - 12 oz (Rarely Reordered),Creamy spaghetti in a 12 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Received mixed feedback from shoppers.,4.58,Pantry,2024-11-25T22:32:07Z,q_000010,Pantry,1.03,16.90,Ambient,true,false,Daily Table,12 oz,oz,12.19,"2.6 x 5.7 x 3.4""",Ambient,"Salt, Natural flavors, Prepared ingredients",None,35,United States
Green Fork Creamy Tomato Soup - 12 oz (Current Stock),Creamy tomato soup in a 12 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Available for standard online ordering.,5.94,Pantry,2025-03-30T20:47:38Z,q_000010,Pantry,1.03,16.90,Ambient,false,false,Green Fork,12 oz,oz,11.94,"3.9 x 5.4 x 4.6""",Ambient,"Salt, Natural flavors, Prepared ingredients",None,40,United States
Harvest Lane Creamy Taco Shells - 32 oz (Current Stock),Creamy taco shells in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage.,4.24,Pantry,2026-03-06T22:56:57Z,q_000010,Pantry,1.03,16.90,Ambient,false,false,Harvest Lane,32 oz,oz,29.72,"3.2 x 7.3 x 8.8""",Ambient,"Natural flavors, Salt, Prepared ingredients",Soy,33,United States
Daily Table Classic Tomato Soup - 15 oz (Current Stock),Classic tomato soup in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage.,14.08,Pantry,2025-03-12T15:07:34Z,q_000010,Pantry,1.03,16.90,Ambient,true,false,Daily Table,15 oz,oz,16.18,"1.6 x 6.7 x 5.8""",Ambient,"Prepared ingredients, Salt, Natural flavors",Peanuts,61,United States
FreshField Extra Virgin Long Grain Rice - 32 oz (New Listing),Extra Virgin long grain rice in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Recently added to the online catalog.,12.80,Pantry,2025-01-03T06:21:57Z,q_000010,Pantry,1.03,16.90,Ambient,false,false,FreshField,32 oz,oz,31.18,"5.1 x 11.2 x 7.0""",Ambient,"Natural flavors, Salt, Prepared ingredients",Wheat,49,United States
Oak & Grain Gluten Free Olive Oil - 32 oz (Well Reviewed),Gluten Free olive oil in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Well liked by regular shoppers.,6.70,Pantry,2026-03-01T05:42:44Z,q_000010,Pantry,1.03,16.90,Ambient,false,false,Oak & Grain,32 oz,oz,30.64,"2.5 x 15.5 x 4.8""",Ambient,"Salt, Prepared ingredients, Natural flavors",Soy,54,United States
North Star Foods Recycled Aluminum Foil - 50 fl oz (Limited Feedback),Recycled aluminum foil in a 50 fl oz package for online grocery orders. Listed under household and intended for ambient storage. Limited customer feedback so far.,23.98,Household,2025-11-10T01:01:13Z,q_000011,Household,2.97,25.99,Ambient,false,false,North Star Foods,50 fl oz,fl oz,53.25,"6.7 x 3.8 x 7.8""",Ambient,Household materials,None,0,United States
Valley Select Unscented Laundry Detergent - 6 ct (Standard Listing),Unscented laundry detergent in a 6 ct package for online grocery orders. Listed under household and intended for ambient storage.,10.13,Household,2026-02-09T15:06:33Z,q_000011,Household,2.97,25.99,Ambient,false,false,Valley Select,6 ct,ct,39.18,"13.5 x 4.5 x 1.6""",Ambient,Household materials,None,0,United States
North Star Foods Unscented Aluminum Foil - 12 ct (Recently Added),Unscented aluminum foil in a 12 ct package for online grocery orders. Listed under household and intended for ambient storage. Feedback on this listing is still limited.,17.90,Household,2024-09-22T08:33:05Z,q_000012,Household,2.06,26.33,Ambient,false,false,North Star Foods,12 ct,ct,73.92,"7.6 x 12.0 x 7.0""",Ambient,Household materials,None,0,United States
Blue Cart Unscented Trash Bags - 12 ct,Unscented trash bags in a 12 ct package for online grocery orders. Listed under household and intended for ambient storage. Available for standard online ordering.,24.50,Household,2024-10-26T05:54:53Z,q_000012,Household,2.06,26.33,Ambient,false,false,Blue Cart,12 ct,ct,72.86,"13.3 x 5.1 x 6.6""",Ambient,Household materials,None,0,United States
Oak & Grain Multi Surface Trash Bags - 12 ct (Current Stock),Multi Surface trash bags in a 12 ct package for online grocery orders. Listed under household and intended for ambient storage. Available for standard online ordering.,22.86,Household,2024-11-22T10:42:57Z,q_000012,Household,2.06,26.33,Ambient,true,false,Oak & Grain,12 ct,ct,74.05,"7.5 x 9.7 x 2.2""",Ambient,Household materials,None,0,United States
FreshField Family Size Salted Butter - 32 fl oz (Low Feedback),Family Size salted butter in a 32 fl oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Rarely reordered by past customers.,8.94,Dairy,2025-05-30T23:29:36Z,q_000013,Dairy,1.68,13.89,Refrigerated,true,false,FreshField,32 fl oz,fl oz,34.72,"4.6 x 16.3 x 6.6""",Refrigerated,"Cultures, Milk, Cream, Salt",Milk,62,Peru
Riverbend Cultured Half And Half - 24 oz (Best Seller),Cultured half and half in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. One of the most repurchased items in its aisle.,7.36,Dairy,2025-02-19T19:46:20Z,q_000013,Dairy,1.68,13.89,Refrigerated,true,true,Riverbend,24 oz,oz,23.89,"5.5 x 5.7 x 6.4""",Refrigerated,"Cultures, Salt, Milk, Cream",Milk,67,United States
Golden Acre Family Size Vanilla Yogurt Cups - 24 oz (Shopper Favorite),Family Size vanilla yogurt cups in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Well liked by regular shoppers.,4.12,Dairy,2024-08-05T10:37:33Z,q_000013,Dairy,1.68,13.89,Refrigerated,false,false,Golden Acre,24 oz,oz,25.48,"3.3 x 8.6 x 4.7""",Refrigerated,"Milk, Cream, Cultures, Salt",Milk,71,United States
Blue Cart Cultured Sour Cream - 24 oz (Clearance Listing),Cultured sour cream in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Marked for limited future availability.,3.00,Dairy,2025-08-06T18:37:40Z,q_000013,Dairy,1.68,13.89,Refrigerated,false,false,Blue Cart,24 oz,oz,24.54,"2.8 x 13.7 x 10.6""",Refrigerated,"Milk, Salt, Cream, Cultures",Milk,61,Italy
Daily Table Creamy Salted Butter - 16 oz (Well Reviewed),Creamy salted butter in a 16 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Well liked by regular shoppers.,2.61,Dairy,2026-05-04T06:39:38Z,q_000013,Dairy,1.68,13.89,Refrigerated,false,false,Daily Table,16 oz,oz,16.41,"2.9 x 5.9 x 3.2""",Refrigerated,"Milk, Salt, Cultures, Cream",Milk,68,United States
Green Fork Small Batch Whole Milk - 32 fl oz (Customer Favorite),Small Batch whole milk in a 32 fl oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Rated highly by shoppers for consistent quality.,6.17,Dairy,2026-05-02T19:24:20Z,q_000013,Dairy,1.68,13.89,Refrigerated,true,true,Green Fork,32 fl oz,fl oz,33.18,"6.0 x 13.0 x 7.3""",Refrigerated,"Milk, Salt, Cream, Cultures",Milk,54,Canada
Green Fork Low Fat Vanilla Yogurt Cups - 1 gal (Unrated Listing),Low Fat vanilla yogurt cups in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage. Recently added to the online catalog.,9.15,Dairy,2026-04-02T12:37:14Z,q_000013,Dairy,1.68,13.89,Refrigerated,false,false,Green Fork,1 gal,gal,133.62,"7.4 x 8.6 x 13.2""",Refrigerated,"Salt, Milk, Cultures, Cream",Milk,76,United States
Blue Cart Cultured Greek Yogurt - 16 oz (Limited Feedback),Cultured Greek yogurt in a 16 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Feedback on this listing is still limited.,5.14,Dairy,2024-11-01T12:37:27Z,q_000013,Dairy,1.68,13.89,Refrigerated,false,false,Blue Cart,16 oz,oz,15.83,"1.6 x 6.9 x 3.1""",Refrigerated,"Cultures, Milk, Salt, Cream",Milk,74,United States
Oak & Grain Premium Sweet Potatoes - 1 lb,Premium sweet potatoes in a 1 lb package for online grocery orders. Listed under produce and intended for ambient storage. Ships as part of regular inventory.,3.39,Produce,2026-02-12T03:22:52Z,q_000014,Produce,0.50,10.78,Ambient,true,false,Oak & Grain,1 lb,lb,16.28,"3.3 x 9.0 x 2.5""",Ambient,Whole produce,None,83,Chile
Daily Table Washed Romaine Hearts - 12 oz (Rarely Reordered),Washed romaine hearts in a 12 oz package for online grocery orders. Listed under produce and intended for ambient storage. Rarely reordered by past customers.,6.85,Produce,2026-01-30T18:16:08Z,q_000014,Produce,0.50,10.78,Ambient,true,false,Daily Table,12 oz,oz,11.91,"1.2 x 5.7 x 4.1""",Ambient,Whole produce,None,87,New Zealand
Green Fork Washed Broccoli Florets - 3 lb (Discontinuing Soon),Washed broccoli florets in a 3 lb package for online grocery orders. Listed under produce and intended for ambient storage. Received mixed feedback from shoppers.,2.14,Produce,2026-05-23T15:58:17Z,q_000014,Produce,0.50,10.78,Ambient,false,false,Green Fork,3 lb,lb,45.82,"2.9 x 10.6 x 6.1""",Ambient,Whole produce,None,91,United States
FreshField Ripe Grape Tomatoes - 3 lb (Shopper Favorite),Ripe grape tomatoes in a 3 lb package for online grocery orders. Listed under produce and intended for ambient storage. Well liked by regular shoppers.,2.28,Produce,2025-05-28T22:27:36Z,q_000014,Produce,0.50,10.78,Ambient,false,false,FreshField,3 lb,lb,45.08,"3.5 x 10.7 x 8.3""",Ambient,Whole produce,None,83,United States
Riverbend Ripe Sweet Potatoes - 1 lb,Ripe sweet potatoes in a 1 lb package for online grocery orders. Listed under produce and intended for ambient storage.,4.83,Produce,2026-03-22T15:08:29Z,q_000014,Produce,0.50,10.78,Ambient,false,false,Riverbend,1 lb,lb,15.76,"1.2 x 8.2 x 5.7""",Ambient,Whole produce,None,97,United States
Oak & Grain Fresh Avocados - 1 lb (Popular Choice),Fresh avocados in a 1 lb package for online grocery orders. Listed under produce and intended for ambient storage. Generally receives positive feedback.,3.99,Produce,2025-10-19T16:49:04Z,q_000014,Produce,0.50,10.78,Ambient,true,false,Oak & Grain,1 lb,lb,16.03,"3.3 x 3.5 x 6.8""",Ambient,Whole produce,None,89,Mexico
Corner Market Steamable Green Peas - 24 oz,Steamable green peas in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Stocked as part of the regular lineup.,7.88,Frozen,2025-02-04T21:17:56Z,q_000015,Frozen,1.79,16.46,Frozen,false,false,Corner Market,24 oz,oz,25.40,"1.9 x 12.7 x 3.8""",Frozen,"Spices, Salt, Prepared ingredients",None,26,United States
Purely Good Steamable Pepperoni Pizza - 32 oz (#1 Pick),Steamable pepperoni pizza in a 32 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Frequently reordered by returning customers.,9.45,Frozen,2025-07-22T20:55:47Z,q_000015,Frozen,1.79,16.46,Frozen,true,true,Purely Good,32 oz,oz,31.81,"3.0 x 8.9 x 8.3""",Frozen,"Spices, Prepared ingredients, Salt",Wheat,42,United States
North Star Foods Steamable Breakfast Burritos - 16 oz (Customer Favorite),Steamable breakfast burritos in a 16 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Frequently reordered by returning customers.,9.37,Frozen,2024-12-14T09:55:33Z,q_000015,Frozen,1.79,16.46,Frozen,true,true,North Star Foods,16 oz,oz,15.65,"3.2 x 6.9 x 6.5""",Frozen,"Salt, Spices, Prepared ingredients",Soy,65,Chile
Purely Good Family Size Waffles - 10 oz (Discontinuing Soon),Family Size waffles in a 10 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Received mixed feedback from shoppers.,9.33,Frozen,2026-02-28T04:50:05Z,q_000015,Frozen,1.79,16.46,Frozen,false,false,Purely Good,10 oz,oz,10.13,"2.5 x 3.1 x 3.5""",Frozen,"Prepared ingredients, Salt, Spices",None,30,Spain
Oak & Grain Crispy Fruit Blend - 16 oz (Rarely Reordered),Crispy fruit blend in a 16 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Received mixed feedback from shoppers.,8.33,Frozen,2024-10-14T19:13:44Z,q_000015,Frozen,1.79,16.46,Frozen,true,false,Oak & Grain,16 oz,oz,15.30,"1.5 x 7.2 x 5.1""",Frozen,"Prepared ingredients, Spices, Salt",Soy,28,United States
Corner Market Crispy Waffles - 10 oz (Shopper Favorite),Crispy waffles in a 10 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Often recommended by repeat customers.,11.50,Frozen,2025-12-22T10:36:27Z,q_000015,Frozen,1.79,16.46,Frozen,false,false,Corner Market,10 oz,oz,9.86,"2.3 x 7.6 x 5.9""",Frozen,"Spices, Prepared ingredients, Salt",Soy,69,United States
Daily Table Crispy Breakfast Burritos - 16 oz (Best Seller),Crispy breakfast burritos in a 16 oz package for online grocery orders. Listed under frozen and intended for frozen storage. One of the most repurchased items in its aisle.,8.02,Frozen,2026-04-14T18:09:48Z,q_000015,Frozen,1.79,16.46,Frozen,true,true,Daily Table,16 oz,oz,16.81,"3.9 x 4.1 x 4.4""",Frozen,"Spices, Prepared ingredients, Salt",Milk,63,United States
Riverbend Sensitive Skin Body Wash - 12 fl oz (Customer Favorite),Sensitive Skin body wash in a 12 fl oz package for online grocery orders. Listed under personal care and intended for ambient storage. Rated highly by shoppers for consistent quality.,5.13,Personal Care,2026-02-18T22:36:20Z,q_000016,Personal Care,1.66,18.07,Ambient,true,true,Riverbend,12 fl oz,fl oz,11.97,"10.8 x 4.1 x 2.4""",Ambient,Personal care formula,None,0,United States
Cedar House Sensitive Skin Mouthwash - 3 oz (Discontinuing Soon),Sensitive Skin mouthwash in a 3 oz package for online grocery orders. Listed under personal care and intended for ambient storage. Rarely reordered by past customers.,5.01,Personal Care,2025-09-16T15:20:53Z,q_000016,Personal Care,1.66,18.07,Ambient,true,false,Cedar House,3 oz,oz,3.19,"7.9 x 4.4 x 3.4""",Ambient,Personal care formula,None,0,United States
